trial_id,looming_start_frame,looming_start_time,bhvr1,bhvr2,bhvr3,bhvr4,bhvr5
G1M1D1T1,13102,T00:10:54.476,F,F,FS,S,S
G1M1D1T2,14827,T00:12:20.643,O,A,F,S,S
G1M1D1T3,18220,T00:15:10.132,F,E,F,EN,TN
G1M1D1T4,20054,T00:16:41.745,F,S,S,F,EN
G1M1D1T5,23058,T00:19:11.801,F,R,R,F,E
G1M1D1T6,26495,T00:22:03.488,F,S,EN,N,N
G1M1D1T7,29474,T00:24:32.346,F,F,SR,E,EN
G1M1D1T8,34802,T00:28:58.492,A,S,EN,N,N
G1M1D1T9,37902,T00:31:33.345,A,S,E,EN,N
G1M1D1T10,41866,T00:34:51.306,A,R,E,EN,N
G1M1D1T11,44015,T00:36:38.703,R,R,E,N,N
G1M1D2T1,12743,T00:10:35.329,F,E,N,N,N
G1M1D2T2,19612,T00:16:17.798,F,FE,E,FN,FN
G1M1D2T3,22791,T00:18:56.294,F,FE,E,E,N
G1M1D2T4,25854,T00:21:29.006,F,F,FE,E,F
G1M1D2T5,30940,T00:25:42.580,F,S,E,N,FN
G1M1D2T6,34574,T00:28:43.760,F,SE,E,N,FN
G1M1D2T7,39623,T00:32:55.489,F,F,E,EN,N
G1M1D2T8,43933,T00:36:30.423,AE,EN,FN,N,N
G1M1D3T1,12560,T00:10:28.627,F,R,R,R,O
G1M1D3T2,16101,T00:13:25.855,F,F,R,F,FR
G1M1D3T3,19003,T00:15:51.100,F,E,S,S,S
G1M1D3T4,20827,T00:17:22.441,F,SE,E,EN,N
G1M1D3T5,23376,T00:19:29.968,O,R,R,E,O
G1M1D3T6,29452,T00:24:34.122,S,R,F,F,F
G1M1D3T7,31756,T00:26:29.337,S,S,S,O,O
G1M1D3T8,34604,T00:28:51.980,F,S,S,R,R
G1M1D3T9,37696,T00:31:26.684,F,R,R,R,O
G1M1D3T10,40717,T00:33:57.885,FS,R,R,S,S
G1M1D3T11,44293,T00:36:56.864,F,O,O,R,R
